Year,Country,Region,Yearly_Emission,GDP per capita
2021,Equatorial Guinea,Western_Africa,597.5053814666667,-4.149946896
2020,Greece,OECD_Europe,4802.43768725,-8.840356712
2021,Greece,OECD_Europe,4902.431395333334,8.701686405
2020,Grenada,Rest Central America,26.64970236166667,-14.15180213
2021,Grenada,Rest Central America,29.56989727916667,4.854113223
2020,Guatemala,Rest Central America,4806.85002875,-3.004905372
2021,Guatemala,Rest Central America,5018.977392916667,5.947602764
2020,Guyana,Rest South America,364.8015454083333,42.78930049
2021,Guyana,Rest South America,356.12941328333335,19.35515616
2020,Honduras,Rest Central America,1643.2286673333335,-10.42150115
2021,Honduras,Rest Central America,1693.103311,10.76287114
2020,Croatia,Central Europe,1960.5544050833332,-7.700776427
2021,Croatia,Central Europe,2029.085237416667,14.66060324
2020,Haiti,Rest Central America,1292.8350559166668,-4.525491823
2021,Haiti,Rest Central America,1318.4674551666667,-2.982189831
2020,Hungary,Central Europe,5237.15282475,-4.257530879
2021,Hungary,Central Europe,5324.828056833333,7.540698898
2020,Indonesia,Indonesia +,70302.56995333334,-3.102651719
2021,Indonesia,Indonesia +,71090.76182166667,2.626356801
2020,India,India +,289662.85484166665,-7.515674992
2021,India,India +,310439.71271666663,7.899879116
2020,Ireland,OECD_Europe,2968.43604425,4.776937267
2021,Ireland,OECD_Europe,3150.9975109166676,12.51824097
2020,Iraq,Middle_East,14076.633541666664,-13.33639738
2021,Iraq,Middle_East,15060.589367500002,0.395050371
2020,Iceland,OECD_Europe,231.53250155833337,-8.00918541
2021,Iceland,OECD_Europe,248.11709182499996,2.07533548
2020,Israel,Middle_East,5012.538692916666,-3.863999473
2021,Israel,Middle_East,4986.587222833333,6.467707351
2020,Italy,OECD_Europe,29569.268764999997,-8.597873461
2021,Italy,OECD_Europe,31561.184804166667,7.33584014
2020,Jamaica,Rest Central America,700.9283501333334,-10.39158965
2021,Jamaica,Rest Central America,769.3674357416667,4.167277268
2020,Jordan,Middle_East,1992.0390206666664,-2.530193235
2021,Jordan,Middle_East,2057.394495666667,1.554027182
2020,Japan,Japan,92429.99041833333,-4.225555341
2021,Japan,Japan,94887.94191833334,2.089279405
2020,Kazakhstan,Asia-Stan,18148.121235,-3.757983454
2021,Kazakhstan,Asia-Stan,17936.68596,2.648621825
2020,Kenya,Eastern_Africa,6294.323501416667,-2.471299332
2021,Kenya,Eastern_Africa,6376.479294083335,5.14275096
2020,Cambodia,Southeastern Asia,4249.840683166667,-4.443176856
2021,Cambodia,Southeastern Asia,4278.020446333333,1.643448779
2020,Lebanon,Middle_East,2147.311556,-25.57917409
2021,Lebanon,Middle_East,2213.624866583333,-9.775285311
2020,Liberia,Western_Africa,1344.1843800000004,-5.290171594
2021,Liberia,Western_Africa,1352.3787595833335,1.540026687
2020,Sri Lanka,India +,3741.436717416667,-4.125280253
2021,Sri Lanka,India +,3685.282495249999,2.54684074
2020,Lesotho,Southern_Africa,360.0895872416666,-8.289676751
2021,Lesotho,Southern_Africa,358.9088716666667,0.229150505
2020,Lithuania,Central Europe,1781.0283585000004,-0.159159194
2021,Lithuania,Central Europe,1791.2251779166666,4.987122852
