Year,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Region,Yearly_Emission,GDP per capita
2021,Costa Rica,1107.0,370799.0,14.0,4693.0,Rest Central America,1219.2830814166666,6.638824255
2020,Costa Rica,458.0,39025.0,6.0,469.0,Rest Central America,1155.6620922500001,-4.927747219
2021,Croatia,1373.0,372709.0,24.0,7790.0,Central Europe,2029.085237416667,14.66060324
2020,Croatia,573.0,26679.0,11.0,420.0,Central Europe,1960.5544050833332,-7.700776427
2021,Cyprus,382.0,85001.0,1.0,407.0,Central Europe,593.29178565,4.572713883
2020,Cyprus,61.0,2712.0,0.0,21.0,Central Europe,565.2338734833332,-6.055135126
2021,Denmark,1759.0,318178.0,5.0,2543.0,OECD_Europe,3643.5633541666666,4.240658413
2020,Denmark,454.0,25536.0,4.0,487.0,OECD_Europe,3535.2860240833324,-2.347336032
2021,Djibouti,21.0,10602.0,0.0,136.0,Eastern_Africa,104.90521080833334,2.832231715
2020,Djibouti,16.0,3285.0,0.0,34.0,Eastern_Africa,101.99050832,-0.277593604
2020,Dominica,0.0,25.0,0.0,0.0,Rest Central America,18.725142647499997,-16.81690055
2021,Dominica,18.0,1693.0,0.0,9.0,Rest Central America,20.327996426666665,6.268565807
2021,Dominican Republic,679.0,310664.0,5.0,3644.0,Rest Central America,2968.156829,11.18747229
2020,Dominican Republic,466.0,57677.0,7.0,1037.0,Rest Central America,2741.882368,-7.657060908
2020,Ecuador,581.0,76989.0,39.0,5641.0,Rest South America,3552.5629752500004,-9.195656221
2021,Ecuador,916.0,421108.0,54.0,24489.0,Rest South America,4157.812460749999,2.805236029
2020,El Salvador,126.0,14705.0,4.0,417.0,Rest Central America,918.7273124416665,-9.041506281
2021,El Salvador,208.0,83709.0,7.0,2587.0,Rest Central America,991.6811738249999,10.25185314
2020,Equatorial Guinea,14.0,2802.0,0.0,42.0,Western_Africa,569.424205425,-7.449593578
2021,Equatorial Guinea,23.0,9222.0,0.0,125.0,Western_Africa,597.5053814666667,-4.149946896
2021,Estonia,586.0,132616.0,5.0,1167.0,Central Europe,1661.128361666667,8.367793702
2020,Estonia,77.0,3733.0,1.0,56.0,Central Europe,1575.9356546666668,-3.14261532
2020,Ethiopia,340.0,34935.0,5.0,552.0,Eastern_Africa,16739.6965025,3.39811006
2021,Ethiopia,799.0,269960.0,14.0,4322.0,Eastern_Africa,16803.4729175,3.02707564
